#,POS,PLAYER NAME,FIRST NAME,LAST NAME,SHIRT NAME,TEAM
22,DF,HERNANDEZ Theo,Théo Bernard François,HERNANDEZ,T. HERNANDEZ,France FRA
23,GK,AREOLA Alphonse,Alphonse Francis,AREOLA,AREOLA,France FRA
24,DF,KONATE Ibrahima,Ibrahima,KONATÉ,KONATE,France FRA
25,MF,CAMAVINGA Eduardo,Eduardo Celmi,CAMAVINGA,CAMAVINGA,France FRA
26,FW,THURAM Marcus,Marcus Lilian,THURAM-ULIEN,THURAM,France FRA
1,GK,NEUER Manuel,Manuel Peter,NEUER,NEUER,Germany GER
2,DF,RUEDIGER Antonio,Antonio,RÜDIGER,RÜDIGER,Germany GER
3,DF,RAUM David,David,RAUM,RAUM,Germany GER
4,DF,GINTER Matthias,Matthias Lukas,GINTER,GINTER,Germany GER
5,DF,KEHRER Thilo,Jan Thilo,KEHRER,KEHRER,Germany GER
6,MF,KIMMICH Joshua,Joshua Walter,KIMMICH,KIMMICH,Germany GER
7,FW,HAVERTZ Kai,Kai Lukas,HAVERTZ,HAVERTZ,Germany GER
8,MF,GORETZKA Leon,Leon Christoph,GORETZKA,GORETZKA,Germany GER
9,FW,FUELLKRUG Niclas,Niclas,FÜLLKRUG,FÜLLKRUG,Germany GER
10,FW,GNABRY Serge,Serge David,GNABRY,GNABRY,Germany GER
11,MF,GOETZE Mario,Mario,GÖTZE,GÖTZE,Germany GER
12,GK,TRAPP Kevin,Kevin Christian,TRAPP,TRAPP,Germany GER
13,MF,MUELLER Thomas,Thomas,MÜLLER,MÜLLER,Germany GER
14,MF,MUSIALA Jamal,Jamal,MUSIALA,MUSIALA,Germany GER
15,DF,SUELE Niklas,Niklas,SÜLE,SÜLE,Germany GER
16,DF,KLOSTERMANN Lukas,Lukas Manuel,KLOSTERMANN,KLOSTERMANN,Germany GER
17,MF,BRANDT Julian,Julian,BRANDT,BRANDT,Germany GER
18,MF,HOFMANN Jonas,Jonas,HOFMANN,HOFMANN,Germany GER
19,MF,SANE Leroy,Leroy Aziz,SANÉ,SANÉ,Germany GER
20,DF,GUENTER Christian,Christian,GÜNTER,GÜNTER,Germany GER
21,MF,GUENDOGAN Ilkay,Ilkay,GÜNDO?AN,GÜNDO?AN,Germany GER
22,GK,TER STEGEN Marc-Andre,Marc-André,TER STEGEN,TER STEGEN,Germany GER
23,DF,SCHLOTTERBECK Nico,Nico Cedric,SCHLOTTERBECK,SCHLOTTERBECK,Germany GER
24,FW,ADEYEMI Karim,Karim David,ADEYEMI,ADEYEMI,Germany GER
25,DF,BELLA KOTCHAP Armel,Armel,BELLA KOTCHAP,BELLA KOTCHAP,Germany GER
26,FW,MOUKOKO Youssoufa,Youssoufa,MOUKOKO,MOUKOKO,Germany GER
1,GK,ZIGI Lawrence Ati,Lawrence Ati,ZIGI,ZIGI,Ghana GHA
2,DF,LAMPTEY Tariq,Tariq Kwame Nii-Lante,LAMPTEY,LAMPTAY,Ghana GHA
3,DF,ODOI Denis,Denis Frimpong,ODOI,ODOI,Ghana GHA
4,DF,SALISU Mohammed,Mohammed Salisu,ABDUL KARIM,M. SALISU,Ghana GHA
5,MF,PARTEY Thomas,Thomas Teye,PARTEY,PARTEY,Ghana GHA
6,MF,OWUSU Elisha,Elisha,OWUSU,OWUSU,Ghana GHA
7,MF,ISSAHAKU Fatawu,Abdul Fatawu,ISSAHAKU,A. FATAWU,Ghana GHA
8,MF,KYEREH Daniel-Ko ,Daniel Ko ,KYEREH,KYEREH,Ghana GHA
9,FW,AYEW Jordan,Jordan Pierre,AYEW,J. AYEW,Ghana GHA
10,FW,AYEW Andre,Andre Morgan Rami,AYEW,A. AYEW,Ghana GHA
11,MF,BUKARI Osman,Osman,BUKARI,BUKARI,Ghana GHA
12,GK,DANLAD Ibrahim,Danlad,IBRAHIM,DANLAD,Ghana GHA
13,MF,AFRIYIE Daniel,Daniel,AFRIYIE BERNIEH,AFRIYIE,Ghana GHA
14,DF,MENSAH Gideon,Gideon,MENSAH,MENSAH,Ghana GHA
15,DF,AIDOO Joseph,Joseph,AIDOO,AIDOO,Ghana GHA
16,GK,NURUDEEN Abdul Manaf,Abdul Manaf,NURUDEEN,NURUDEEN,Ghana GHA
17,DF,RAHMAN Baba,Abdul Rahman,BABA,BABA,Ghana GHA
18,DF,AMARTEY Daniel,Daniel,AMARTEY,AMARTEY,Ghana GHA
19,FW,WILLIAMS Inaki,Inaki,WILLIAMS ARTHUER,WILLIAMS,Ghana GHA
20,MF,KUDUS Mohammed,Kudus,MOHAMMED,KUDUS,Ghana GHA
21,MF,ABDUL SAMED Salis,Salis,ABDUL SAMED,ABDUL-SAMED,Ghana GHA
22,MF,SULEMANA Kamaldeen,Kamal Deen,SULEMANA,KAMALDEEN,Ghana GHA
23,DF,DJIKU Alexander,Alexander Kwabena Baidooh,DJIKU,DJIKU,Ghana GHA
24,MF,SOWAH Kamal,Kamal,SOWAH,SOWAH,Ghana GHA
25,FW,SEMENYO Antoine,Antoine Serlom,SEMENYO,SEMENYO,Ghana GHA
26,DF,SEIDU Alidu,Alidu,SEIDU,A. SEIDU,Ghana GHA
1,GK,BEIRANVAND Alireza,Ali Reza,SAFARBEIRANVAND,A. BEIRANVAND,Iran IRN
2,DF,MOHARRAMI Sadegh,Sadegh,MOHARRAMI GETGASARI,MOHARRAMI,Iran IRN
3,DF,HAJISAFI Ehsan,Ehsan,HAJI SAFI,E. HAJISAFI,Iran IRN
4,DF,KHALILZADEH Shoja,Shojae,KHALILZADEH,SHOJA,Iran IRN
5,DF,MOHAMMADI Milad,Milad,MOHAMMADIKESHMARZI,M. MOHAMMADI,Iran IRN
6,MF,EZATOLAHI Saeid,Saeid,EZATOLAHI AFAGH,S. EZATOLAHI,Iran IRN
7,MF,JAHANBAKHSH Alireza,Alireza,JAHAN BAKHSH JIRANDEH,A. JAHANBAKHSH,Iran IRN
8,DF,POURALIGANJI Morteza,Morteza,POURALI GANJI,M. POURALIGANJI,Iran IRN
9,FW,TAREMI Mehdi,Mehdi,TAREMI,TAREMI,Iran IRN
10,FW,ANSARIFARD Karim,Karim,ANSARI FARD,KARIM,Iran IRN
11,MF,AMIRI Vahid,Vahid,AMIRI,V. AMIRI,Iran IRN
12,GK,NIAZMAND Payam,Seyed Payam,NIAZMANDGHADER,PAYAM,Iran IRN
13,DF,KANANI Hossein,Mohammadhossein,KANANI ZADEGAN,KANANI,Iran IRN
14,MF,GHODDOS Saman,Seyed Saman,GHODDOOS,GHODDOS,Iran IRN
15,DF,CHESHMI Rouzbeh,Roozbeh,CHESHMI,ROUZBEH,Iran IRN
16,MF,TORABI Mehdi,Mahdi,TORABI,M. TORABI,Iran IRN
17,MF,GHOLIZADEH Ali,Ali,GHOLI ZADEHNOJEHDEH,A. GHOLIZADEH,Iran IRN
18,MF,KARIMI Ali,Ali,KARIMI,A. KARIMI,Iran IRN
19,DF,HOSSEINI Majid,Seyedmajid,HOSSEINI,MAJID,Iran IRN
20,FW,AZMOUN Sardar,Sardar,AZMOUN,S. AZMOUN,Iran IRN
21,MF,NOOROLLAHI Ahmad,Ahmad,NOOROLLAHI,AHMAD,Iran IRN
22,GK,ABEDZADEH Amir,Amir,ABEDZADEH,ABEDZADEH,Iran IRN
23,DF,REZAEIAN Ramin,Ramin,REZAEIANSEMESKANDI,RAMIN,Iran IRN
24,GK,HOSSEINI Hossein,Seyedhossein,HOSSEINI,H. HOSSEINI,Iran IRN
25,DF,JALALI Abolfazl,Seyedabolfazl,JALALIBOORANI,JALALI,Iran IRN
1,GK,KAWASHIMA Eiji,Eiji,KAWASHIMA,KAWASHIMA,Japan JPN
2,DF,YAMANE Miki,Miki,YAMANE,YAMANE,Japan JPN
3,DF,TANIGUCHI Shogo,Shogo,TANIGUCHI,TANIGUCHI,Japan JPN
4,DF,ITAKURA Kou,Kou,ITAKURA,ITAKURA,Japan JPN
5,DF,NAGATOMO Yuto,Yuto,NAGATOMO,NAGATOMO,Japan JPN
6,MF,ENDO Wataru,Wataru,ENDO,ENDO,Japan JPN
7,MF,SHIBASAKI Gaku,Gaku,SHIBASAKI,GAKU,Japan JPN
8,MF,DOAN Ritsu,Ritsu,DOAN,DOAN,Japan JPN
9,MF,MITOMA Kaoru,Kaoru,MITOMA,MITOMA,Japan JPN
10,MF,MINAMINO Takumi,Takumi,MINAMINO,MINAMINO,Japan JPN
11,MF,KUBO Takefusa,Takefusa,KUBO,KUBO,Japan JPN
12,GK,GONDA Shuichi,Shuichi,GONDA,GONDA,Japan JPN
13,MF,MORITA Hidemasa,Hidemasa,MORITA,MORITA,Japan JPN
14,MF,ITO Junya,Junya,ITO,ITO,Japan JPN
15,MF,KAMADA Daichi,Daichi,KAMADA,KAMADA,Japan JPN
16,DF,TOMIYASU Takehiro,Takehiro,TOMIYASU,TOMIYASU,Japan JPN
17,MF,TANAKA Ao,Ao,TANAKA,TANAKA,Japan JPN
18,FW,ASANO Takuma,Takuma,ASANO,ASANO,Japan JPN
19,DF,SAKAI Hiroki,Hiroki,SAKAI,SAKAI,Japan JPN
20,FW,MACHINO Shuto,Shuto,MACHINO,MACHINO,Japan JPN
21,FW,UEDA Ayase,Ayase,UEDA,UEDA,Japan JPN
22,DF,YOSHIDA Maya,Maya,YOSHIDA,YOSHIDA,Japan JPN
23,GK,SCHMIDT Daniel,Daniel Yuji,YABUKI,SCHMIDT,Japan JPN
24,MF,SOMA Yuki,Yuki,SOMA,SOMA,Japan JPN
25,FW,MAEDA Daizen,Daizen,MAEDA,MAEDA,Japan JPN
26,DF,ITO Hiroki,Hiroki,ITO,H. ITO,Japan JPN
1,GK,KIM Seunggyu,Seunggyu,KIM,S G KIM,Korea-Republic KOR
2,DF,YOON Jonggyu,Jonggyu,YOON,J G YOON,Korea-Republic KOR
3,DF,KIM Jinsu,Jin Su,KIM,J S KIM,Korea-Republic KOR
4,DF,KIM Minjae,Minjae,KIM,M J KIM,Korea-Republic KOR
5,MF,JUNG Wooyoung,Wooyoung,JUNG,W Y JUNG,Korea-Republic KOR
6,MF,HWANG Inbeom,Inbeom,HWANG,I B HWANG,Korea-Republic KOR
7,MF,SON Heungmin,Heung Min,SON,H M SON,Korea-Republic KOR
8,MF,PAIK Seungho,Seungho,PAIK,S H PAIK,Korea-Republic KOR
9,FW,CHO Guesung,Guesung,CHO,G S CHO,Korea-Republic KOR
10,MF,LEE Jaesung,Jae Sung,LEE,J S LEE,Korea-Republic KOR
11,MF,HWANG Heechan,Hee Chan,HWANG,H C HWANG,Korea-Republic KOR
12,GK,SONG Bumkeun,Bumkeun,SONG,B K SONG,Korea-Republic KOR
13,MF,SON Junho,Junho,SON,J H SON,Korea-Republic KOR
14,DF,HONG Chul,Chul,HONG,C HONG,Korea-Republic KOR
15,DF,KIM Moonhwan,Moonhwan,KIM,M H KIM,Korea-Republic KOR
16,FW,HWANG Uijo,Ui Jo,HWANG,U J HWANG,Korea-Republic KOR
17,MF,NA Sangho,Sangho,NA,S H NA,Korea-Republic KOR
18,MF,LEE Kangin,Kangin,LEE,K I LEE,Korea-Republic KOR
19,DF,KIM Younggwon,Younggwon,KIM,Y G KIM,Korea-Republic KOR
20,DF,KWON Kyungwon,Kyungwon,KWON,K W KWON,Korea-Republic KOR
21,GK,JO Hyeonwoo,Hyeonwoo,JO,H W JO,Korea-Republic KOR
22,MF,KWON Changhoon,Changhoon,KWON,C H KWON,Korea-Republic KOR
23,DF,KIM Taehwan,Taehwan,KIM,T H KIM,Korea-Republic KOR
24,DF,CHO Yumin,Yumin,CHO,Y M CHO,Korea-Republic KOR
25,MF,JEONG Wooyeong,Wooyeong,JEONG,W Y JEONG,Korea-Republic KOR
26,MF,SONG Minkyu,Minkyu,SONG,M K SONG,Korea-Republic KOR
1,GK,TALAVERA Alfredo,Alfredo,TALAVERA DIAZ,A. TALAVERA,Mexico MEX
2,DF,ARAUJO Nestor,Nestor Alejandro,ARAUJO RAZO,N. ARAUJO,Mexico MEX
3,DF,MONTES Cesar,Cesar Jasib,MONTES CASTRO,C. MONTES,Mexico MEX
4,DF,ALVAREZ Edson,Edson Omar,ALVAREZ VELAZQUEZ,E. ALVAREZ,Mexico MEX
5,DF,VASQUEZ Johan,Johan Felipe,VASQUEZ IBARRA,J. VASQUEZ,Mexico MEX
6,DF,ARTEAGA Gerardo,Gerardo Daniel,ARTEAGA ZAMORA,G. ARTEAGA,Mexico MEX
7,MF,ROMO Luis,Luis Francisco,ROMO BARRON,L. ROMO,Mexico MEX
8,MF,RODRIGUEZ Carlos,Carlos Alberto,RODRIGUEZ GOMEZ,C. RODRÍGUEZ,Mexico MEX
9,FW,JIMENEZ Raul,Raul Alonso,JIMENEZ RODRIGUEZ,RAÚL,Mexico MEX
10,FW,VEGA Alexis,Ernesto Alexis,VEGA ROJAS,A. VEGA,Mexico MEX
11,FW,FUNES MORI Rogelio,Rogelio Gabriel,FUNES MORI,R. FUNES MORI,Mexico MEX
12,GK,COTA Rodolfo,Rodolfo,COTA ROBLES,R. COTA,Mexico MEX
13,GK,OCHOA Guillermo,Francisco Guillermo,OCHOA MAGA?A,G. OCHOA,Mexico MEX
14,MF,GUTIERREZ Erick,Erick Gabriel,GUTIERREZ GALAVIZ,E. GUTIÉRREZ,Mexico MEX
15,DF,MORENO Hector,Hector Alfredo,MORENO HERRERA,H. MORENO,Mexico MEX
16,MF,HERRERA Hector,Hector Miguel,HERRERA LÓPEZ,H. HERRERA,Mexico MEX
17,FW,PINEDA Orbelin,Orbelin,PINEDA ALVARADO,O. PINEDA,Mexico MEX
18,MF,GUARDADO Andres,Jose Andres,GUARDADO HERNANDEZ,A. GUARDADO,Mexico MEX
19,DF,SANCHEZ Jorge,Jorge Eduardo,SANCHEZ RAMOS,J. SÁNCHEZ,Mexico MEX
20,FW,MARTIN Henry,Henry Josue,MARTIN MEX,H. MARTÍN,Mexico MEX
21,FW,ANTUNA Uriel,Carlos Uriel,ANTUNA ROMERO,U. ANTUNA,Mexico MEX
22,FW,LOZANO Hirving,Hirving Rodrigo,LOZANO BAHENA,H. LOZANO,Mexico MEX
23,DF,GALLARDO Jesus,Jesus Daniel,GALLARDO VASCONCELOS,J. GALLARDO,Mexico MEX
24,MF,CHAVEZ Luis,Luis Gerardo,CHAVEZ MAGALLON,L. CHÁVEZ,Mexico MEX
25,FW,ALVARADO Roberto,Roberto Carlos,ALVARADO HERNANDEZ,R. ALVARADO,Mexico MEX
26,DF,ALVAREZ Kevin,Kevin Nahin,ALVAREZ CAMPOS,K. ÁLVAREZ,Mexico MEX
1,GK,BOUNOU Yassine,Yassine,BOUNOU,BONO,Morocco MAR
2,DF,HAKIMI Achraf,Achraf,HAKIMI,HAKIMI,Morocco MAR
3,DF,MAZRAOUI Noussair,Noussair,MAZRAOUI,MAZRAOUI,Morocco MAR
4,MF,AMRABAT Sofyan,Sofyan,AMRABAT,AMRABAT,Morocco MAR
5,DF,AGUERD Nayef,Nayef,AGUERD,AGUERD,Morocco MAR
6,DF,SAISS Romain,Ghanem,SAISS,SAISS,Morocco MAR
7,MF,ZIYECH Hakim,Hakim,ZIYACH,ZIYECH,Morocco MAR
8,MF,OUNAHI Azzedine,Azz-Eddine,OUNAHI,OUNAHI,Morocco MAR
9,FW,HAMDALLAH Abderrazak,Abderrazzaq,HAMED-ALLAH,HAMED ALLAH,Morocco MAR
10,MF,ZAROURY Anass,Anass,ZAROURY,ZAROURY,Morocco MAR
11,FW,SABIRI Abdelhamid,Abdelhamid,SABIRI,SABIRI,Morocco MAR
12,GK,EL KAJOUI Munir,Monir,EL KAJOUI,EL KAJOUI,Morocco MAR
13,MF,CHAIR Ilias,Ilias,CHAIR,CHAIR,Morocco MAR
14,MF,ABOUKHLAL Zakaria,Zakaria,ABOUKHLAL,ABOUKHLAL,Morocco MAR
15,MF,AMALLAH Selim,Selim,AMALLAH,AMALLAH,Morocco MAR
16,FW,EZZALZOULI Abde,Abdessamad,EZZALZOULI,EZZALZOULI,Morocco MAR
17,MF,BOUFAL So ane,So ane,BOUFAL,BOUFAL,Morocco MAR
18,DF,EL YAMIQ Jawad,Jawad,EL-YAMIQ,EL-YAMIQ,Morocco MAR
19,FW,EN-NESYRI Youssef,Youssef,EN-NESYRI,EN-NESYRI,Morocco MAR
20,DF,DARI Achraf,Achraf,DARI,DARI,Morocco MAR
21,FW,CHEDDIRA Walid,Walid,CHEDDIRA,CHEDDIRA,Morocco MAR
22,GK,TAGNAOUTI Ahmed Reda,Ahmed Reda,TAGNAOUTI,TAGNAOUTI,Morocco MAR
23,MF,EL KHANNOUSS Bilal,Bilal,EL KHANNOUSS,EL KHANNOUSS,Morocco MAR
24,DF,BENOUN Badr,Badr,BENOUN,BENOUN,Morocco MAR
25,DF,ATTIAT-ALLAH Yahya,Yahya,ATTIAT-ALLAH EL IDRISSI,ATTIAT-ALLAH,Morocco MAR
26,MF,JABRANE Yahya,Yahya,JABRANE,JABRANE,Morocco MAR
1,GK,PASVEER Remko,Remko Jurian,PASVEER,PASVEER,Netherlands NED
2,DF,TIMBER Jurrien,Jurriën David Norman,TIMBER,TIMBER,Netherlands NED
3,DF,DE LIGT Matthijs,Matthijs,DE LIGT,DE LIGT,Netherlands NED
4,DF,VAN DIJK Virgil,Virgil,VAN DIJK,VIRGIL,Netherlands NED
5,DF,AKE Nathan,Nathan Benjamin,AKÉ,AKÉ,Netherlands NED
6,DF,DE VRIJ Stefan,Stefan,DE VRIJ,DE VRIJ,Netherlands NED
7,FW,BERGWIJN Steven,Steven Charles,BERGWIJN,BERGWIJN,Netherlands NED
8,FW,GAKPO Cody,Cody Math?s,GAKPO,GAKPO,Netherlands NED
9,FW,DE JONG Luuk,Luuk,DE JONG,L. DE JONG,Netherlands NED
10,FW,DEPAY Memphis,Memphis,DEPAY,MEMPHIS,Netherlands NED
11,MF,BERGHUIS Steven,Steven,BERGHUIS,BERGHUIS,Netherlands NED
12,FW,LANG Noa,Noa Noëll,LANG,LANG,Netherlands NED
13,GK,BIJLOW Justin,Justin,BIJLOW,BIJLOW,Netherlands NED
14,MF,KLAASSEN Davy,Davy,KLAASSEN,KLAASSEN,Netherlands NED
15,MF,DE ROON Marten,Marten Elco,DE ROON,DE ROON,Netherlands NED
16,DF,MALACIA Tyrell,Tyrell Johannes Chicco,MALACIA,MALACIA,Netherlands NED
17,DF,BLIND Daley,Daley,BLIND,BLIND,Netherlands NED
18,FW,JANSSEN Vincent,Vincent Petrus Anna Sebastiaan,JANSSEN,JANSSEN,Netherlands NED
19,FW,WEGHORST Wout,Wout François Maria,WEGHORST,WEGHORST,Netherlands NED
20,MF,KOOPMEINERS Teun,Teun,KOOPMEINERS,KOOPMEINERS,Netherlands NED
21,MF,DE JONG Frenkie,Frenkie,DE JONG,F. DE JONG,Netherlands NED
22,DF,DUMFRIES Denzel,Denzel Justus Morris,DUMFRIES,DUMFRIES,Netherlands NED
23,GK,NOPPERT Andries,Andries,NOPPERT,NOPPERT,Netherlands NED
24,MF,TAYLOR Kenneth,Kenneth Ina Dorothea,TAYLOR,TAYLOR,Netherlands NED
25,MF,SIMONS Xavi,Xavi Quentin Shay,SIMONS,XAVI,Netherlands NED
26,DF,FRIMPONG Jeremie,Jeremie Agyekum,FRIMPONG,FRIMPONG,Netherlands NED
1,GK,SZCZESNY Wojciech,Wojciech Tomasz,SZCZÊSNY,SZCZÊSNY,Poland POL
2,DF,CASH Matty,Matthew Stuart,CASH,CASH,Poland POL
3,DF,JEDRZEJCZYK Artur,Artur Marcin,JÊDRZEJCZYK,JÊDRZEJCZYK,Poland POL
4,DF,WIETESKA Mateusz,Mateusz,WIETESKA,WIETESKA,Poland POL
5,DF,BEDNAREK Jan,Jan Kacper,BEDNAREK,BEDNAREK,Poland POL
6,MF,BIELIK Krystian,Krystian,BIELIK,BIELIK,Poland POL
7,FW,MILIK Arkadiusz,Arkadiusz Krystian,MILIK,MILIK,Poland POL
8,MF,SZYMANSKI Damian,Damian Dawid,SZYMAÑSKI,D. SZYMAÑSKI,Poland POL
9,FW,LEWANDOWSKI Robert,Robert,LEWANDOWSKI,LEWANDOWSKI,Poland POL
10,MF,KRYCHOWIAK Grzegorz,Grzegorz,KRYCHOWIAK,KRYCHOWIAK,Poland POL
11,MF,GROSICKI Kamil,Kamil Pawe³,GROSICKI,GROSICKI,Poland POL
12,GK,SKORUPSKI Lukasz,£ukasz,SKORUPSKI,SKORUPSKI,Poland POL
13,MF,KAMINSKI Jakub,Jakub,KAMIÑSKI,KAMIÑSKI,Poland POL
14,DF,KIWIOR Jakub,Jakub Piotr,KIWIOR,KIWIOR,Poland POL
15,DF,GLIK Kamil,Kamil Jacek,GLIK,GLIK,Poland POL
16,FW,SWIDERSKI Karol,Karol Grzegorz,ŒWIDERSKI,ŒWIDERSKI,Poland POL
17,MF,ZURKOWSKI Szymon,Szymon Piotr,¯URKOWSKI,¯URKOWSKI,Poland POL
18,DF,BERESZYNSKI Bartosz,Bartosz,BERESZYÑSKI,BERESZYÑSKI,Poland POL
19,MF,SZYMANSKI Sebastian,Sebastian,SZYMAÑSKI,S. SZYMAÑSKI,Poland POL
20,MF,ZIELINSKI Piotr,Piotr Sebastian,ZIELIÑSKI,ZIELIÑSKI,Poland POL
21,MF,ZALEWSKI Nicola,Nicola,ZALEWSKI,ZALEWSKI,Poland POL
22,GK,GRABARA Kamil,Kamil Mieczys³aw,GRABARA,GRABARA,Poland POL
23,FW,PIATEK Krzysztof,Krzysztof,PI¥TEK,PI¥TEK,Poland POL
24,MF,FRANKOWSKI Przemyslaw,Przemys³aw Adam,FRANKOWSKI,FRANKOWSKI,Poland POL
25,DF,GUMNY Robert,Robert Krzysztof,GUMNY,GUMNY,Poland POL
26,MF,SKORAS Michal,Micha³ Krzysztof,SKÓRAŒ,SKÓRAŒ,Poland POL
1,GK,RUI PATRICIO,Rui Pedro,DOS SANTOS PATRÍCIO,RUI PATRÍCIO,Portugal POR
2,DF,DIOGO DALOT,José Diogo,DALOT TEIXEIRA,DALOT,Portugal POR
3,DF,PEPE,Kepler Laveran,DE LIMA FERREIRA,PEPE,Portugal POR
4,DF,RUBEN DIAS,Rúben,DOS SANTOS GATO ALVES DIAS,RÚBEN DIAS,Portugal POR
5,DF,RAPHAEL GUERREIRO,Raphaël Adelino José,GUERREIRO,RAPHAEL,Portugal POR
6,MF,JOAO PALHINHA,Jo?o Maria,LOBO ALVES PALHINHA GONÇALVES,J. PALHINHA,Portugal POR
7,FW,CRISTIANO RONALDO,Cristiano Ronaldo,DOS SANTOS AVEIRO,RONALDO,Portugal POR
8,MF,BRUNO FERNANDES,Bruno Miguel,BORGES FERNANDES,B. FERNANDES,Portugal POR
9,FW,ANDRE SILVA,André Miguel,VALENTE DA SILVA,ANDRÉ SILVA,Portugal POR
10,FW,BERNARDO SILVA,Bernardo,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO,Portugal POR
11,FW,JOAO FELIX,Jo?o,FÉLIX SEQUEIRA,JO?O FÉLIX,Portugal POR
12,GK,JOSE SA,José Pedro,MALHEIRO DE SÁ,JOSÉ SÁ,Portugal POR
13,DF,DANILO PEREIRA,Danilo Luís Hélio,PEREIRA,DANILO,Portugal POR
14,MF,WILLIAM CARVALHO,William,SILVA DE CARVALHO,WILLIAM,Portugal POR
15,FW,RAFAEL LEAO,Rafael Alexandre,DA CONCEIÇ?O LE?O,R. LE?O,Portugal POR
16,MF,VITINHA,Vitor,MACHADO FERREIRA,VITINHA,Portugal POR
17,MF,JOAO MARIO,Jo?o Mário,NAVAL DA COSTA EDUARDO,J. MÁRIO,Portugal POR
18,MF,RUBEN NEVES,Rúben Diogo,SILVA NEVES,R. NEVES,Portugal POR
19,DF,NUNO MENDES,Nuno Alexandre,TAVARES MENDES,N. MENDES,Portugal POR
20,DF,JOAO CANCELO,Jo?o Pedro,CAVACO CANCELO,JO?O CANCELO,Portugal POR
21,FW,RICARDO HORTA,Ricardo Jorge,DA LUZ HORTA,R. HORTA,Portugal POR
22,GK,DIOGO COSTA,Diogo,MEIRELES DA COSTA,DIOGO COSTA,Portugal POR
23,MF,MATHEUS NUNES,Matheus Luíz,NUNES,MATHEUS N.,Portugal POR
24,DF,ANTONIO SILVA,António Jo?o,PEREIRA DE ALBUQUERQUE TAVARES,ANTÓNIO S.,Portugal POR
25,MF,OTAVIO,Otávio Edmilson,DA SILVA MONTEIRO,OTÁVIO,Portugal POR
26,FW,GONCALO RAMOS,Gonçalo,MATIAS RAMOS,G. RAMOS,Portugal POR
1,GK,SAAD ALSHEEB,Saad Abdulla M E,ALSHEEB,SAAD,Qatar QAT
2,DF,PEDRO MIGUEL,Pedro Miguel D D,CORREIA,PEDRO,Qatar QAT
3,MF,ABDELKARIM HASSAN,Abdelkarim Hassan A,FADLALLA,ABDELKARIM,Qatar QAT
4,DF,MOHAMMED WAAD,Mohammed Waad A,ALBAYATI,M. WAAD,Qatar QAT
5,DF,TAREK SALMAN,Tarek Salman S,SALMAN,TAREK,Qatar QAT
6,MF,ABDULAZIZ HATEM,Abdelaziz Hatim A,MOHAMED,A. AZIZ,Qatar QAT
7,FW,AHMED ALAAELDIN,Ahmed Alaaeldin B M,ABDELMOTAAL,ALAADIN,Qatar QAT
8,MF,ALI ASAD,Ali Asadalla Q B,THAIMN,ASAD,Qatar QAT
9,FW,MOHAMMED MUNTARI,Mohammed,MUNTARI,MUNTARI,Qatar QAT
10,MF,HASSAN ALHAYDOS,Hasan Khalid H,ALHAYDOS,ALHAYDOS,Qatar QAT
11,FW,AKRAM AFIF,Akram Hassan A Y,AFIF,AFIF,Qatar QAT
12,MF,KARIM BOUDIAF,Karim,BOUDIAF,KARIM,Qatar QAT
13,DF,MUSAAB KHIDIR,Musaab Khidir K,MOHAMED,MUSAAB,Qatar QAT
14,DF,HOMAM AHMED,Homam Elamin M,AHMED,HOMAM,Qatar QAT
15,DF,BASSAM ALRAWI,Bassam Husham A,ALRAWI,BASSAM,Qatar QAT
16,DF,BOUALEM KHOUKHI,Boualem,KHOUKHI,KHOUKHI,Qatar QAT
17,DF,ISMAIL MOHAMAD,Ismail Mohamad M,B,ISMAIL M.,Qatar QAT
18,FW,KHALID MUNEER,Khalid Muneer A A,MAZEED,K. MUNEER,Qatar QAT
19,FW,ALMOEZ ALI,Almoez Ali Zainelabdeen M,ABDULLA,ALMOEZ,Qatar QAT
20,MF,SALEM ALHAJRI,Salem Ali S S,AL-HAJRI,S. ALHAJRI,Qatar QAT
21,GK,YOUSOF HASSAN,Yousof Hassan M,ALI,YOUSOF,Qatar QAT
22,GK,MESHAAL BARSHAM,Meshaal Aissa M,BARSHAM,BARSHAM,Qatar QAT
23,MF,ASSIM MADIBO,Assim Omer A,MADIBO,MADIBO,Qatar QAT
24,MF,NAIF ALHADHRAMI,Naif Abdulraheem O,ALHADHRAMI,NAIF,Qatar QAT
25,MF,JASSEM GABER,Jassem Gaber E,ABDULSALLAM,JASSEM,Qatar QAT
26,MF,MOUSTAFA TAREK,Moustafa Tarek M M,MASHAL,MOUSTAFA,Qatar QAT
1,GK,MOHAMMED ALYAMI,Mohammed Faraj S,ALYAMI,ALYAMI,Saudi-Arabia KSA
2,DF,SULTAN ALGHANNAM,Sultan Abdullah S,ALGHANNAM,SULTAN,Saudi-Arabia KSA
3,DF,ABDULLAH MADU,Abdullah Mohammed M,MADU,MADU,Saudi-Arabia KSA
4,DF,ABDULELAH ALAMRI,Abdulelah Ali A,ALAMRI,ALAMRI,Saudi-Arabia KSA
5,DF,ALI ALBULAYHI,Ali Hadi M,AL BULAYHI,ALBULAYHI,Saudi-Arabia KSA
6,DF,MOHAMMED ALBURAYK,Mohammed Ibrahim M,ALBURAYK,ALBURAYK,Saudi-Arabia KSA
